epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
25,0.8937205076217651,9.999999747378752e-06,1.152344822883606,0.9519926309585571,0.9746139645576477
26,0.9252906441688538,9.999999747378752e-06,1.0592014789581299,0.9623291492462158,0.9551932215690613
27,0.9391619563102722,9.999999747378752e-06,1.0260123014450073,0.9671528935432434,0.9428396224975586
28,0.9458961486816406,9.999999747378752e-06,1.0015255212783813,0.9697943925857544,0.9335762858390808
29,0.9484862685203552,9.999999747378752e-06,0.9948529005050659,0.9722062945365906,0.927309513092041
30,0.9562564492225647,9.999999747378752e-06,0.9768110513687134,0.9728953838348389,0.9208815693855286
31,0.9580695033073425,9.999999747378752e-06,0.9666776061058044,0.9749626517295837,0.9145405888557434
32,0.9580407738685608,9.999999747378752e-06,0.9637097120285034,0.9755369424819946,0.9049205780029297
33,0.9615517258644104,9.999999747378752e-06,0.9537920951843262,0.9753072261810303,0.9021991491317749
34,0.963566243648529,9.999999747378752e-06,0.9463150501251221,0.9771448373794556,0.8955646753311157
35,0.96497642993927,9.999999747378752e-06,0.9384827613830566,0.9770299792289734,0.8929067850112915
36,0.9655519723892212,9.999999747378752e-06,0.9351253509521484,0.9785230159759521,0.8865842223167419
37,0.9684010744094849,9.999999747378752e-06,0.9262569546699524,0.9799012541770935,0.8813787698745728
38,0.9702141284942627,9.999999747378752e-06,0.9204705953598022,0.979556679725647,0.8757982850074768
39,0.9702141284942627,9.999999747378752e-06,0.9181015491485596,0.9809348583221436,0.868722140789032
